ordernumber,quantityordered,priceeach,orderlinenumber,sales,orderdate,status,qtr_id,month_id,year_id,productline,msrp,productcode,customername,phone,addressline1,addressline2,city,state,postalcode,country,territory,contactlastname,contactfirstname,dealsize,year_id ,validacion_ventas_total,diferencia_ventas,periodo_id,ratio_discount_priceeach
10107,-0.5228908557285186,0.5969775019778834,2,-0.3708252319213149,2003-02-24,shipped,1,1970-01-01 00:00:00.000000002,2003,motorcycles,-0.14224584412333427,s10_1678,land of toys inc.,2125557818,897 long airport avenue,level 3,nyc,ny,10022,usa,emea,yu,kwai,small,2003-01-01,-0.05961961298299807,0.588980583072066,-1.503327471959201,-0.5475236402830443
10121,-0.11220131389876024,-0.11445035408552658,5,-0.427897066100711,2003-05-07,shipped,2,1970-01-01 00:00:00.000000005,2003,motorcycles,-0.14224584412333427,s10_1678,reims collectables,26.47.1555,59 rue de l'abbaye,level 3,reims,ca,51100,france,emea,henriot,paul,small,2003-01-01,-0.15469415136837877,0.5889805830720656,-1.3509927344114936,-0.08243011728044056
10134,0.6065053843033168,0.549383722060052,2,0.17944282181178947,2003-07-01,shipped,3,1970-01-01 00:00:00.000000007,2003,motorcycles,-0.14224584412333427,s10_1678,lyon souveniers,+33 1 46 62 7555,27 rue du colonel pierre avia,level 3,paris,ca,75508,france,emea,da cunha,daniel,medium,2003-01-01,0.8570581484579278,0.5889805830720656,-1.1986579968637863,-0.5208068795960578
10145,1.017194926133075,-0.019758562790675022,6,0.10470098302537557,2003-08-25,shipped,3,1970-01-01 00:00:00.000000008,2003,motorcycles,-0.14224584412333427,s10_1678,toys4grownups.com,6265557265,78934 hillside dr.,level 3,pasadena,ca,90003,usa,emea,young,julie,medium,2003-01-01,0.7325475921937633,0.5889805830720665,-1.1986579968637863,-0.1535837845961058
10159,1.4278844679628335,0.8101579745265006,14,0.8967396621789611,2003-10-10,shipped,4,1970-01-01 00:00:00.000000010,2003,motorcycles,-0.14224584412333427,s10_1678,corporate gift ideas co.,6505551386,7734 strong st.,level 3,san francisco,ca,28034,usa,emea,brown,julie,medium,2003-01-01,1.7758346057033652,0.29756542161927374,-1.046323259316079,-0.660897884055815
10168,0.09314345701611891,0.6445712818957139,1,-0.04025387345272125,2003-10-28,shipped,4,1970-01-01 00:00:00.000000010,2003,motorcycles,-0.14224584412333427,s10_1678,technics stores inc.,6505556809,9408 furth circle,level 3,burlingame,ca,94217,usa,emea,hirano,juri,medium,2003-01-01,0.49107092923854456,0.5889805830720656,-1.046323259316079,-0.573709714227645
10180,-0.6255632411859581,0.1225270084220064,9,-0.5734981212721809,2003-11-11,shipped,4,1970-01-01 00:00:00.000000011,2003,motorcycles,-0.14224584412333427,s10_1678,daedalus designs imports,20.16.1555,"184, chausse de tournai",level 3,lille,ca,59000,france,emea,rance,martine,small,2003-01-01,-0.397247300533669,0.588980583072066,-1.046323259316079,-0.2545669380278233
10188,1.325212082505394,0.8101579745265006,1,1.0634752157925056,2003-11-18,shipped,4,1970-01-01 00:00:00.000000011,2003,motorcycles,-0.14224584412333427,s10_1678,herkku gifts,+47 2267 3215,"drammen 121, pr 744 sentrum",level 3,bergen,ca,n 5804,norway,emea,oeztan,veysel,medium,2003-01-01,1.685373579646866,-0.09101040132224918,-1.046323259316079,-0.660897884055815
10201,-1.344269939388035,0.7392630731905647,2,-0.7522779496916155,2003-12-01,shipped,4,1970-01-01 00:00:00.000000012,2003,motorcycles,-0.14224584412333427,s10_1678,mini wheels co.,6505555787,5557 north pendale street,level 3,san francisco,ca,28034,usa,emea,murphy,julie,small,2003-01-01,-0.6950721366194804,0.588980583072066,-1.046323259316079,-0.6242921461088772
10211,0.6065053843033168,0.8101579745265006,14,0.6269489925752558,2004-01-15,shipped,1,1970-01-01 00:00:00.000000001,2004,motorcycles,-0.14224584412333427,s10_1678,auto canal petit,(1) 47.55.6555,"25, rue lauriston",level 3,paris,ca,75016,france,emea,perrier,dominique,medium,2004-01-01,1.0521463972513736,0.008154950568588601,0.02001990351787216,-0.660897884055815
